Александрув Куявский, КП
Лендек-Здруй, DŚ
Лемборк, премьер-министр
Лендзины, SL
Макув-Мазовецкий, MZ
Макув Подгалянский, MA
Мальборк, премьер-министр
Маргонин, В.П.
Марки, МЗ
Машево, З.П.
Малогощ, СК
Маломице, LB
Мястечко-Слёнске, SL
Мястко, премьер-министр
Михалово, ПД
Мехов, Массачусетс
Мейска Гурка, WP
Мелец, ПК
Мельно, З.П.
Мерошув, Д.С.
Мешковице, ЗП
Миколайки, WN
Миколув, SL
Микстат, ВП
Милановек, МЗ
Милич, доктор медицинских наук
Мирославец, З.П.
Мирск, ДС
Мендзыбуж, Д.С.
Мендзыход, WP
Мендзылесье, DŚ
Мендзыжец-Подляский, LU
Мендзыжеч, LB
Мендзыздрое, ЗП
Милаково, Западная Н.
Миломлын, Западная Н.
Милослав, WP
Минск-Мазовецкий, МЗ
Модлибожице, LU
Могельница, МЗ
Могилно, КП
Моравица, СК
Морди, МЗ
Моринь, З.П.
Мораг, Западная Нью-Йорк
Мосина, В.П.
Моньки, PD
Мроча, КП
Мрозы, МЗ
Мронгово, Западная Н.
Мшана Долна, MA
Мщонув, МЗ
Мурована Гослина, WP
Мушина, М.А.
Мышкув, SL
Мышинец, МЗ
Мысловице, SL
Мысленице, Массачусетс
Мыслибож, ЗП
Млава, МЗ
Млынары, Западная Северная Каролина
Накло-над-Нотецич, КП
Намыслув, ОП
Нарол, ПК
Насельск, МЗ
Наленчув, LU
Некла, ВП
Нидзица, Западная Н.
Немча, Д.С.
Немодлин, ОП
Неполомице, Массачусетс
Нешава, КП
Лоу, ПК
Нова Демба, ПК
Нова Руда, DŚ
Нова Саржина, ПК
Нова Соль, LB
Нова Слупя, СК
Новый, КП
Нове-Бжеско, Массачусетс
Нове Мястечко, LB
Нове-Място-Любавске, WN
Нове-Място-над-Пилицей, МЗ
Нове Скальмежице, WP
Нове Варпно, ZP
Новогард, З.П.
Новогродзец, Д.С.
Новгород, ПД
Новогруд Бобжаньски, LB
Новы-Двур-Гданьский, премьер-министр
Новы-Двур-Мазовецкий, Министерство здравоохранения
Новы-Корчин, СК
Новы Став, премьер-министр
Новы-Сонч, Массачусетс
Новы-Тарг, Массачусетс
Новый Томысль, WP
Новы Виснич, Массачусетс
Ныса, ОП
Оборники, ВП
Оборники-Слёнске, ДС
Обжицко, В.П.
Одоланув, WP
Огродзенец, Силезское воеводство
Оконек, В.П.
Олецко, WN
Олесно, ОП
Олешице, ПК
Олесница, Д.С.
Олесница, СК
Олькуш, Массачусетс
Ольштын, Западная Н.
Ольштынек, WN
Ольшина, Д.С.
Опаленица, ВП
Опатовец, СК
Опатов, СК
Опатувек, В.П.
Опочно, LD
Ополе, ОП
Ополе Любельское, LU
Орнета, Западная Невада
Ожеше, Силезское воеводство
Ожиш, Западная Н.
Осечна, ВП
Осик, СК
Остророг, WP
Островец-Свентокшиский, СК
Остроленка, МЗ
Остшешув, WP
Оструда, Западная Невада
Остров Любельский, LU
Остров Мазовецка, MZ
Остров-Велькопольский, WP
Отмухув, ОП
Отвоцк, МЗ
Жирный, фунт
Озимек, ОП
Озоркув, LD
Олава, Д.С.
Осно-Любушке, LB
Освенцим, Массачусетс
Ожарув, СК
Ожарув Мазовецкий, Министерство здравоохранения
Пабянице, LD
Паканув, СК
Пачков, ОП
Паенчно, LD
Пачкув, КП
Парчев, Л.Ю.
Пасым, Западная Н.
Пасленк, WN
Пельплин П.М.
Пелчице, ЗП
Пясечно, МЗ
Пьяски, ЛУ
Пястув, МЗ
Пеховице, Д.С.
Пекары-Слёнске, SL
Пененжно, ЗН
Пержница, СК
Пешице, Д.С.
Пеньск, ДЗ
Пилава, Миннесота
Пилица, SL
Пильзно, ПК
Пионки, МЗ
Петркув Куявский, КП
Петркув Трибунальский, LD
Пиши, ВН
Пивнична-Здруй, Массачусетс
Пила, ВП
Пилава Горна, DŚ
Пиньчув, СК
Плешев, В.П.
Пневы, ВП
Победзиска, ВП
Поддембице, LD
Подкова Лесна, МЗ
Погожела, ВП
Поляница-Здруй, DŚ
Поланув, З.П.
Полиция, ЗП
Полковице, Д.С.
Понятова, ЛУ
Понец, ВП
Поремба, SL
Познань, ВП
Поланец, СК
Полчин-Здруй, ЗП
Прабути, премьер-министр
Прашка, ОП
Проховице, Д.С.
Прошовице, Массачусетс
Пручник, ПК
Прудник, ОП
Прусице, Д.С.
Прущ Гданьский, премьер-министр
Прушкув, МЗ
Пшасныш, МЗ
Пшецлав, ПК
Пшедборж, LD
Пшеч, ВП
Пшемкув, Д.С.
Пшемысль, ПК
Пшеворск, ПК
Пшисуха, МЗ
Прушкув, ОП
Пщина, Силезское воеводство
Пшув, SL
Пак, П.М.
Пущиково, WP
Пулавы, LU
Пултуск, МЗ
Пыжице, З.П.
Пысковице, SL
Пыздры, ВП
Плоцк, МЗ
Плоты, ЗП
Плоньск, МЗ
Рабка-Здруй, Массачусетс
Рацибуж, SL
Раценж, МЗ
Радкув, Д.С.
Радлин, С.Л.
Радом, Министерство здравоохранения
Радомско, LD
Радомысль Вельки, ПК
Радошице, СК
Радымно, ПК
Радзеюв, КП
Радзионкув, SL
Радзымин, МЗ
Радзынь Хелминьский, КП
Радзынь-Подляски, LU
Рэдлоу, Массачусетс
Райгрод, PD
Раконевице, ВП
Рашкув, В.П.
Ратуша, Ополе
Ратуша, Зелена-Гура
Рава Мазовецка, LD
Равич, В.П.
Реч, ЗП
Реда, премьер-министр
Рейовец, ЛУ
Рейовец Фабричный, LU
Реско, З.П.
Резель, Западная Нью-Йорк
Рогозьно, WP
Ропчице, ПК
Руциане-Нида, Западная Невада
Руда Сленска, SL
Рудник-над-Санем, ПК
Румия, премьер-министр
Рыбник, Силезское воеводство
Рыхвал, ВП
Рыдултовы, SL
Рыдзина, В.П.
Риглице, Массачусетс
Рыки, ЛУ
Рыманув, ПК
Рин, Западная Нью-Йорк
Рыпин, К.П.
Жепин, Л.Б.
Жешув, ПК
Жгув, LD
Рожан, МЗ
Сандомир, СК
Санники, МЗ
Санок, ПК
Сейны, ПД
Сероцк, МЗ
Сянов, З.П.
Сехнице, Д.С.
Седльце, Министерство здравоохранения
Седлище, LU
Семяновице-Слёнске, SL
Семятыче, ПД
Сенява, ПК
Серадз, LD
Серакув, WP
Серпц, МЗ
Севеж, SL
Скалбмеж, СК
Скаршевы, премьер-министр
Скарышев, МЗ
Скаржиско-Каменна, СК
Скавина, М.А.
Рок, Массачусетс
Скерневице, LD
Скочув, Силезское воеводство
Скоки, ВП
Сквежина, ЛБ
Скорч, премьер-министр
Скепе, КП
Соботка, Д.С.
Сохачев, МЗ
Соколув Малопольский, ПК
Соколув Подляский, Министерство здравоохранения
Сокулка, ПД
Солец Куявски, КП
Сомпольно, ВП
Сопот, премьер-министр
Сосновец, SL
Сосниковице, SL
Сталёва Воля, ПК
Стараховице, СК
Старгард, З.П.
Старогард Гданьский, премьер-министр
Старый Сонч, Массачусетс
Сташув, СК
Стависки, П.Д.
Ставишин, В.П.
Степница, З.П.
Сточек Луковски, LU
Стопница, СК
Строне Слёнске, DŚ
Стрим, SL
Стрыкув, LD
Стшегом, Д.С.
Стшельце Краеньске, LB
Стшельце Опольске, ОП
Стшелин, Д.С.
Стшельно, КП
Стшижув, ПК
Стомпоркув, СК
Стеншев, В.П.
Суха Бескидзка, Массачусетс
Сучань, З.П.
Сухеднюв, СК
Привет, ПД
Сулехув, LB
Сулеюв, LD
Сулейувек, МЗ
Сульмежице, WP
Суленцин, LB
Супрасль, ПД
Сураж, ПД
Суш, Западная Н.
Сувалки, ПД
Сулковице, Массачусетс
Сважендз, ВП
Сыков, Д.С.
Садек, LD
Шамоцин, ВП
Шамотулы, ВП
Щавница, Массачусетс
Щавно-Здруй, DŚ
Щебжешин, LU
Щецин, З.П.
Щецинек, З.П.
Щекоцины, SL
Щуцин, М.А.
Щучин, ПД
Щирк, Силезское воеводство
Щитна, Д.С.
Щитно, Западная Н.
Шепетово, ПД
Шклярска Поремба, DŚ
Шлихтынгова, LB
Шпротава, LB
Штум, премьер-министр
Шубин, КП
Шидловец, МЗ
Шидлов, СК
Сендзишув, СК
Сендзишув Малопольский, ПК
Семпополь, ЗН
Семпольно Краеньске, КП
Слава, LB
Славкув, SL
Славно, ЗП
Сломники, Массачусетс
Слубице, LB
Слупца, ВП
Слупск, ПМ
Тарчин, МЗ
Тарнобжег, ПК
Тарногруд, LU
Тарновские Горы, SL
Тарнов, Массачусетс
Тчев, премьер-министр
Тересполь, ЛУ
Толкмичко, WN
Томашув Любельский, LU
Томашов Мазовецкий, LD
Торунь, КП
Тожим, Л.Б.
Тошек, SL
Тшчанка, ВП
Тшчьель, Л.Б.
Тщиньско-Здруй, ЗП
Тшебятов, З.П.
Тшебиня, Массачусетс
Тшебница, Д.С.
Тшемешно, ВП
Тухола, КП
Тухов, Массачусетс
Тучно, З.П.
Тулишков, WP
Турек, В.П.
Тушин, LD
Туловице, ОП
Твардогора, Д.С.
Тихово, ЗП
Тыхы, Силезия
Тычин, ПК
Тыкоцин, ПД
Тышовце, LU
Жирный, МЗ
Уязд, ОП
Уйсьце, WP
Уланув, ПК
Унеюв, LD
Офисы, ЛУ
Устка, ПМ
Устронь, Силезское воеводство
Устшики-Дольне, ПК
Вадовице, Массачусетс
Варка, МЗ
Варшава, Министерство здравоохранения
Варта, LD
Василькув, PD
Валбжих, Д.С.
Валч, З.П.
Вейхерово, премьер-министр
Вильбарк, Западная Н.
Велен, WP
Велихово, WP
Величка, Массачусетс
Велюнь, LD
Верушув, LD
Виламовице, SL
Висла, Силезское воеводство
Витково, ВП
Витница, LB
Эльм, Д.С.
Венцборк, КП
Вислица, СК
Влень, Д.С.
Водзислав Слёнски, SL
Войцешув, Д.С.
Войковице, SL
Войнич, Массачусетс
Волбром, Массачусетс
Вольбуж, LD
Волин, З.П.
Вольштын, ВП
Волчин, ОП
Воломин, МЗ
Волув, Д.С.
Возники, SL
Вроцлав, ДЗ
Вронки, В.П.
Вжесня, WP
Всхова, LB
Выжиск, ВП
Высокая, ВП
Высокие Мазовецкие, PD
Вышкув, МЗ
Вышогруд, МЗ
Высмежице, МЗ
Вомбжезьно, КП
Вончок, СК
Вонгровец, WP
Вонсош, Д.С.
Венглинец, Д.С.
Венгожево, Западная Невада
Венгожино, ЗП
Венгрув, МЗ
Владыславово, премьер-министр
Влоцлавек, КП
Влодава, LU
Влощова, СК
Забже, Силезское воеводство
Заблудув, PD
Загуж, ПК
Загурув, WP
Закличин, М.А.
Закликув, ПК
Закопане, Массачусетс
Я доберусь, МЗ
Залево, Западная Н.
Замбрув, PD
Замосць, LU
Затор, Массачусетс
Завадское, ОП
Завичост, СК
Завидов, Д.С.
Заверце, Силезское воеводство
Збоншинек, LB
Збоншинь, В.П.
Здуны, ВП
Здуньска Воля, LD
Здзешовице, ОП
Зелов, LD
Згеж, LD
Згожелец, Д.С.
Зелена-Гура, LB
Зеленка, МЗ
Зембице, DŚ
Звежинец, LU
Зволень, МЗ
Зомбки, МЗ
Зомбковице-Слёнске, DŚ
Злоценец, ЗП
Злочев, LD
Злоторыя, Д.С.
Злотый Сток, DŚ
Злотув, ВП
Цмелов, СК
Лабишин, КП
Лагув, СК
Лапы, ПД
Ласин, КП
Ласк, LDz
Ласкажев, МЗ
Лащув, LU
Лациска Гурне, SL
Лазы, SL
Ланьцут, ПК
Леба, премьер-министр
Лобез, З.П.
Лобженица, WP
Лохув, МЗ
Ломянки, МЗ
Ломжа, ПД
Лосице, МЗ
Лович, LD
Лукув, ЛУ
Лодзь, LDz
Ленчна, LU
Ленчица, LD
Ленкница, LB
Сцинава, DŚ
Слесин, В.П.
Смигель, WP
Срем, ВП
Срода Великопольская, WP
Срода Сленска, DŚ
Свидница, ДС
Свидник, ЛУ
Свидвин, З.П.
Свебодзице, Д.С.
Свебодзин, Л.Б.
Мир, КП
Сверадув-Здруй, DŚ
Свежава, ДС
Свиноуйсьце, ZP
Святники-Гурне, Массачусетс
Свентохловице, SL
Жабно, Массачусетс
Жагань, LB
Жарки, SL
Жары, LB
Жарув, Д.С.
Желехув, МЗ
Жеркув, ВП
Жмиград, Д.С.
Жнин, КП
Жоры, SL
Жуково, премьер-министр
Журомин, МЗ
Жихлин, LD
Жирардов, МЗ
Живец, SL
